name,display_name,bio,followers_count,following_count,acct_created,location,id,id_str
b'RepAngieCraig',b'Angie Craig',"b""Official Twitter account of U.S. Rep Angie Craig representing Minnesota's 2nd CD.\n\n\xf0\x9f\x93\x9e: (651) 846-2120\n\xf0\x9f\x8f\xa2: 12940 Harriet Avenue South, #238, Burnsville, MN 55337""",16390,482,2019-01-01 22:00:55,b'',1080222360643485698,b'1080222360643485698'
b'RepCunningham',b'Rep. Joe Cunningham',"b""Official Twitter account of Rep. Joe Cunningham. Proud to serve the people of South Carolina's Lowcountry.""",17348,100,2019-01-01 20:26:50,b'',1080198683713507335,b'1080198683713507335'
b'RepJasonCrow',b'Rep. Jason Crow',b'Dad. Husband. Former Army Ranger. Assistant Little League Baseball Coach. Proudly Serving Colorado\xe2\x80\x99s 6th in the People\xe2\x80\x99s House. \xf0\x9f\x8f\x94',12528,437,2019-01-01 19:59:44,b'',1080191866509901826,b'1080191866509901826'
b'RepLoriTrahan',b'Congresswoman Lori Trahan',"b""Proudly representing Massachusetts' 3rd Congressional District in the United States Congress. IG: https://t.co/vooOgovNqw \xf0\x9f\x93\x9e(978)-459-0101. #MA3""",17775,923,2018-12-31 18:12:28,"b'Massachusetts, USA'",1079802482640019456,b'1079802482640019456'
b'RepTimmons',b'Congressman William Timmons',b'Proudly representing the people of the Upstate in the US House of Representatives (SC-04).',2473,120,2018-12-31 16:06:47,b'',1079770852302958592,b'1079770852302958592'
b'RepRashida',b'Congresswoman Rashida Tlaib',"b""Proudly serving Michigan's 13th Congressional District. #13thDistrictStrong""",224283,326,2018-12-31 16:01:33,"b'Michigan, USA'",1079769536730140672,b'1079769536730140672'
b'RepAOC',b'Rep. Alexandria Ocasio-Cortez',"b'Congresswoman for NY-14 (the Bronx + Queens). In a modern, moral, and wealthy society, no American should be too poor to live.'",194434,0,2018-12-29 19:59:11,"b'Washington, DC'",1079104563280527364,b'1079104563280527364'
b'RepSusieLee',b'Rep. Susie Lee',"b""Congresswoman proudly serving the folks in Nevada's 3rd District. Bipartisan Leader. Education Advocate. Wife to Dan and mom to two great kids.""",12502,208,2018-12-29 17:08:23,"b'Las Vegas, NV'",1079061579973439488,b'1079061579973439488'
b'RepAndyKimNJ',b'RepAndyKim',"b""Husband to my college sweetheart. Father to two troublemaking baby boys. Public servant and Congressman from New Jersey's Third District""",6413,334,2018-12-28 21:57:06,"b'Bordentown, NJ'",1078771848882593793,b'1078771848882593793'
b'RepSpanberger',b'Rep. Abigail Spanberger',"b'Proudly serving #VA07 in the U.S. House. Former CIA operative, former federal agent, and current Girl Scout leader. Mom of 3.'",24942,686,2018-12-28 21:55:19,"b'Virginia, USA'",1078771401497161728,b'1078771401497161728'
b'RepJoeNeguse',b'Rep. Joe Neguse',b'U.S. Rep. for Colorado\xe2\x80\x99s 2nd District. @NRDems @HouseJudiciary @ClimateCrisis & Vice-Chair @USProgressives. Proud Husband. Dad. First-generation American.',16011,890,2018-12-28 20:29:29,b'Northern Colorado',1078749802765139968,b'1078749802765139968'
b'RepRussFulcher',b'Rep. Russ Fulcher',"b""The Official Account of Idaho's First District Congressman Russ Fulcher. #ID01""",2877,204,2018-12-28 19:58:05,"b'Washington, DC'",1078741899572240384,b'1078741899572240384'
b'SenatorRomney',b'Senator Mitt Romney',b'United States Senator from the great state of Utah.',49378,114,2018-12-28 16:46:10,"b'Salt Lake City, UT'",1078693601356509184,b'1078693601356509184'
b'RepMaxRose',b'Rep. Max Rose',"b'\xe2\x80\x9cLittle Guy"" according to @CityandStateNY. ""Human Terrier"" according to @WashingtonPost. But Staten Islanders and South Brooklynites, please just call me Max.'",15932,674,2018-12-28 16:40:02,"b'Staten Island and South Brooklyn, NY'",1078692057940742144,b'1078692057940742144'
b'RepSlotkin',b'Rep. Elissa Slotkin',"b""Congresswoman for Michigan's 8th Congressional District. Proud Michigander. Former Acting Assistant Secretary of Defense, CIA analyst.""",23688,542,2018-12-27 21:25:10,"b'Michigan, USA'",1078401427347857408,b'1078401427347857408'
b'RepColinAllred',b'Rep. Colin Allred',"b'Official Twitter of Rep. Colin Allred #TX32. Civil rights attorney. Former Obama HUD and NFL player. Member of @transportDems, @houseforeign & @vetaffairsdems.'",13631,197,2018-12-27 18:21:10,"b'Dallas, TX'",1078355119920562176,b'1078355119920562176'
b'RepHaleyStevens',b'Rep. Haley Stevens',"b""Congresswoman for Michigan's 11th District.""",17832,285,2018-12-21 17:04:56,b'',1076161611033968640,b'1076161611033968640'
b'RepFletcher',b'Rep. Lizzie Fletcher',"b""Honored and proud to represent Texas' 7th Congressional District in Houston, where inclusion, innovation, and collaboration thrive.""",12972,98,2018-12-21 00:02:47,"b'Houston, TX'",1075904377221722113,b'1075904377221722113'
b'RepPeteStauber',b'Pete Stauber',"b""Proud to represent Minnesota's 8th Congressional District.""",3132,155,2018-12-20 19:09:37,"b'Hermantown, MN'",1075830599007510535,b'1075830599007510535'
b'RepEscobar',b'Rep. Veronica Escobar',"b""Tejana. Fronteriza. Proudly representing Texas' 16th Congressional District in the U.S. House of Representatives.""",56547,1379,2018-12-19 22:26:42,"b'El Paso, TX'",1075517806551154689,b'1075517806551154689'
b'RepBryanSteil',b'Bryan Steil',"b'Official Twitter account for Bryan Steil, proudly serving the people of Wisconsin\xe2\x80\x99s 1st Congressional District. #WI01'",4275,204,2018-12-19 01:46:28,b'',1075205691621720064,b'1075205691621720064'
b'RepHarley',b'Rep. Harley Rouda',"b""Official account of the office of U.S. Congressmember Harley E. Rouda of California's 48th District.""",12388,321,2018-12-18 17:29:52,"b'Washington, DC'",1075080722241736704,b'1075080722241736704'
b'RepVanTaylor',b'Rep Van Taylor',b'Proudly Serving the Third Congressional District of Texas.',2412,209,2018-12-18 14:48:37,"b'Plano, Texas'",1075040139351597056,b'1075040139351597056'
b'RepDustyJohnson',b'Rep. Dusty Johnson',"b""South Dakota's lone U.S. Representative - husband, father, & proud South Dakotan.""",5180,150,2018-12-17 21:44:20,"b'Mitchell, SD'",1074782372594413569,b'1074782372594413569'
b'RepBenCline',b'Congressman Ben Cline',b'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.',7811,254,2018-12-10 15:57:26,"b'Rockbridge County, Virginia'",1072158357237174272,b'1072158357237174272'
b'RepMikeLevin',b'Rep. Mike Levin',"b'Proud husband/dad, SoCal native, clean energy advocate, environmental attorney, Stanford/Duke alum. U.S. Representative for CA-49. Official account.'",14100,337,2018-12-10 14:21:12,b'California\xe2\x80\x99s 49th District',1072134139560620033,b'1072134139560620033'
b'RepSusanWild',b'Rep. Susan Wild',"b""Proud to represent Pennsylvania's 7th Congressional District""",6641,537,2018-12-03 16:57:05,b'United States',1069636653353000962,b'1069636653353000962'
b'RepKatieHill',b'Rep. Katie Hill',"b'Congresswoman serving the Antelope, Simi & Santa Clarita Valleys in #CA25. But call me Katie. Let\xe2\x80\x99s get to work.'",73192,1146,2018-11-29 22:42:02,"b'Santa Clarita, CA'",1068273911224094721,b'1068273911224094721'
b'repkevinhern',b'Kevin Hern',"b""Representing Oklahoma's 1st Congressional District in Congress""",2291,183,2018-11-28 16:32:33,"b'Oklahoma, USA'",1067818539179024386,b'1067818539179024386'
b'RepChrisPappas',b'Rep. Chris Pappas',"b""Member of Congress serving New Hampshire's 1st District | Life-long Manchester Resident, former Executive Councilor for District 4 | #NH01""",7408,609,2018-11-28 11:54:50,"b'Manchester, NH'",1067748650485497862,b'1067748650485497862'
b'RepMGS',b'Congresswoman Mary Gay Scanlon',"b""Representing Pennsylvania's 5th Congressional District. Vice Chair @HouseJudiciary. Member of @RulesDemocrats.""",35149,908,2018-11-27 22:10:34,b'',1067541214671577093,b'1067541214671577093'
b'RepJoeMorelle',b'Joe Morelle',"b""Husband, father, and Congressman representing New York's 25th district.""",6456,782,2018-11-19 19:07:18,"b'Rochester, NY'",1064595993222615040,b'1064595993222615040'
b'RepDeanPhillips',b'Rep. Dean Phillips',"b'Exposing truth, cleaning-up corruption & inspiring collaboration in Congress. Member of House Financial Services, Foreign Affairs, & Ethics Committees. #MN03'",14490,837,2018-11-10 17:30:23,"b'Minnesota, USA'",1061310112013434882,b'1061310112013434882'
b'RepShalala',b'Rep. Donna E. Shalala',"b'Proudly serving the people of #FL27. Former Prez of @Univmiami \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc, Sec. of @HHSgov, & @PeaceCorps volunteer.\n\nMember of @EdLaborCmte and @RulesDemocrats.'",15280,554,2018-11-08 17:28:17,b'',1060584809095925762,b'1060584809095925762'
b'RepAGonzalez',b'Rep. Anthony Gonzalez',"b'Representing #OH16 in Congress. Northeast Ohio born and raised, husband, dad and Cuban-American. THE Ohio State University #11.'",4717,1085,2018-10-22 14:39:37,b'',1054381765224210432,b'1054381765224210432'
b'RepHoulahan',b'Chrissy Houlahan',"b""Air Force veteran, engineer, entrepreneur, educator and the first woman ever to represent Pennsylvania's 6th District in Congress.""",15826,163,2018-10-18 12:18:11,"b'West Chester, PA'",1052896620797460481,b'1052896620797460481'
b'RepCloudTX',b'Michael Cloud',b'Proudly representing the 27th Congressional District of Texas',5628,92,2018-09-12 14:13:25,b'',1039879658400112640,b'1039879658400112640'
b'RepBalderson',b'Congressman Troy Balderson',"b""Proudly serving Ohio's 12th Congressional District.""",1765,323,2018-09-05 14:07:50,"b'Zanesville, OH'",1037341536592310272,b'1037341536592310272'
b'RepTimBurchett',b'Rep. Tim Burchett',"b""Congressman representing Tennessee's 2nd District. Husband to Kelly. Father to Isabel. Serve on House Budget, Foreign Affairs, and Small Business committees.""",5712,307,2018-08-13 04:04:35,b'East Tennessee',1028854804087492613,b'1028854804087492613'
b'RepWexton',b'Rep. Jennifer Wexton',"b'Mom to two boys & two rescue labs. Former state Senator, prosecutor, and advocate for abused children. Congresswoman serving the people of #VA10.'",20740,1209,2018-07-13 17:15:12,"b'Leesburg, VA'",1017819745880543238,b'1017819745880543238'
b'SenBillCassidy',"b'U.S. Senator Bill Cassidy, M.D.'","b'Treated uninsured patients as a doctor in Louisiana\xe2\x80\x99s charity hospital system, now serving the people of my state in the US Senate. Proud LSU grad! #GeauxTigers'",13459,1089,2018-07-12 20:05:23,"b'Baton Rouge, LA'",1017500185356853248,b'1017500185356853248'
b'RepDLesko',b'Congresswoman Debbie Lesko',"b""Proudly representing Arizona's 8th Congressional District in Congress. Member of @HomelandGOP, @JudiciaryGOP and @RulesReps. #AZ08""",17421,949,2018-05-14 18:28:32,"b'Arizona, USA'",996094929733652481,b'996094929733652481'
b'RepConorLamb',b'Conor Lamb',"b'U.S. Representative for #PA17, including parts of Allegheny and Butler Counties, as well as all of Beaver County in southwestern PA.'",6020,253,2018-04-12 15:42:03,"b'Mount Lebanon, PA'",984456621417000960,b'984456621417000960'
b'SenHydeSmith',b'U.S. Senator Cindy Hyde-Smith',b'Office of U.S. Senator Cindy Hyde-Smith (R-Miss.).',8253,592,2018-04-09 14:17:47,"b'Brookhaven, MS'",983348251972816896,b'983348251972816896'
b'SenDougJones',b'Doug Jones',b'Latest news from the Office of U.S. Senator Doug Jones. Account managed by staff. Tweets from the Senator signed -Doug.',22456,287,2017-12-13 22:59:11,"b'Birmingham, AL'",941080085121175552,b'941080085121175552'
b'SenTinaSmith',b'Senator Tina Smith',"b'Mom, wife, daughter, & loving but distracted friend. US Senator, MN. Birdwatcher and hiker. Prefers window seats, donuts, & MN beer, all together when possible.'",42856,1787,2017-12-13 17:43:41,b'',941000686275387392,b'941000686275387392'
b'RepJohnCurtis',b'Rep. John Curtis',"b""Official account for United States Congressman John Curtis, self-proclaimed millennial. Proudly serving the people of Utah's 3rd district.""",4291,202,2017-11-17 20:06:16,b'Utah and DC',931614483050414080,b'931614483050414080'
b'gillibrandny',b'Sen. Kirsten Gillibrand',b'United States Senator for New York. Official Senate account. She/her.',11089,225,2017-08-22 12:56:39,b'New York',899978622416695297,b'899978622416695297'
b'RepRalphNorman',b'Rep. Ralph Norman',b'Official account of U.S. Congressman Ralph Norman. Proudly serving the 5th congressional district of South Carolina.',8953,682,2017-06-29 17:38:35,"b'South Carolina, USA'",880480631108644864,b'880480631108644864'
b'RepRonEstes',b'Rep. Ron Estes',b'Official Twitter of Congressman Ron Estes. Proudly serving the 4th District of Kansas\xf0\x9f\x8c\xbb#KS04',4826,1874,2017-04-19 15:15:27,"b'Wichita, KS'",854715071116849157,b'854715071116849157'
b'RepClayHiggins',b'Rep. Clay Higgins',b'Proudly representing #LA03 in the U.S. House of Representatives. Member of @HouseHomeland and @GOPOversight.',9602,370,2017-03-20 01:35:02,b'',843636970538618880,b'843636970538618880'
b'RepRutherfordFL',b'Rep. John Rutherford',b'Proudly serving NE FL District 4.  Former Sheriff focused on keeping communities safe & protecting your rights. @HouseAppropsGOP',5865,474,2017-02-07 14:42:24,"b'Washington, DC'",828977216595849216,b'828977216595849216'
b'RepMikeJohnson',b'Rep. Mike Johnson',"b""Proudly serving Louisiana's 4th Congressional District. Chairman of @RepublicanStudy. Member on @HouseJudiciary & @NatResources.""",8270,384,2017-02-02 22:17:20,"b'Washington, DC'",827279765287559171,b'827279765287559171'
b'RepJenniffer',b'Jenniffer Gonz\xc3\xa1lez',"b'Proudly representing the 3.2 million U.S. citizens of Puerto Rico in Congress. Member of @NatResources, @TransportGOP and @HouseGOP.'",17023,666,2017-01-13 03:15:56,"b'Washington, DC and Puerto Rico'",819744763020775425,b'819744763020775425'
b'RepDonBacon',b'Rep. Don Bacon',b'Serving great constituents of NE-02. Married to Angie with four children and five grandchildren. Brigadier General USAF (Ret.) User policy https://t.co/AeMcX3biFi',9533,553,2017-01-11 00:17:40,"b'Papillion, NE'",818975124460335106,b'818975124460335106'
b'RepMattGaetz',b'Rep. Matt Gaetz',b'Official Twitter for Congressman Matt Gaetz. Proud conservative who is honored to serve the First District of Florida.',395164,898,2017-01-10 22:32:25,b'',818948638890217473,b'818948638890217473'
b'RepDarrenSoto',b'US Rep. Darren Soto',"b""Proudly representing Central Florida's 9th District: Osceola County, parts of Orange & Polk counties. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xb5\xf0\x9f\x87\xb7 Member of @EnergyCommerce @NRDems @HispanicCaucus""",11610,3823,2017-01-10 06:57:55,"b'Kissimmee, Florida'",818713465653051392,b'818713465653051392'
b'SenJackyRosen',b'Senator Jacky Rosen',b'U.S. Senator for Nevada.',22405,260,2017-01-09 20:24:29,"b'Las Vegas, NV'",818554054309715969,b'818554054309715969'
b'RepGonzalez',b'Rep. Vicente Gonzalez',b'Proudly representing the 15th District of Texas in U.S. Congress   #TX15GettingItRight',6091,347,2017-01-09 19:13:21,b'',818536152588238849,b'818536152588238849'
b'RepAlLawsonJr',b'US Rep. Al Lawson Jr',"b""Serving #Florida's Fifth District #ForThePeople l Member of @FSCDems and @HouseAgDems l Husband. Father. Grandfather l #FSU Seminole & #FAMU Rattler \xf0\x9f\x90\x8d""",8204,1030,2017-01-09 15:00:05,"b'Tallahassee, FL/ Jacksonville, FL'",818472418620608512,b'818472418620608512'
b'RepTedBudd',b'Ted Budd',b'Proudly serving the 13th district of North Carolina. #NC13',12681,308,2017-01-05 22:39:33,"b'Davie County, North Carolina'",817138492614524928,b'817138492614524928'
b'RepEspaillat',b'Adriano Espaillat',b'Proudly serving New York\xe2\x80\x99s 13th Congressional District. @HispanicCaucus @HouseForeign @TransportDems @HouseSmallBiz. Follow my work in Washington and #NY13',15981,1539,2017-01-05 18:32:15,b'https://www.facebook.com/Congr',817076257770835968,b'817076257770835968'
b'RepLBR',b'Rep. Blunt Rochester',b'Official Twitter page for U.S. Representative Lisa Blunt Rochester (D-DE).',11578,512,2017-01-05 16:48:47,"b'Delaware, USA - Washington, DC'",817050219007328258,b'817050219007328258'
b'RepBarragan',b'Nanette D. Barrag\xc3\xa1n',"b""Honored to represent CA's 44th Congressional District. #CA44 Member of @EnergyCommerce @HomelandDems @HispanicCaucus @USProgressives.  @Dodgers fan.""",29391,8623,2017-01-05 02:29:18,"b'San Pedro, CA'",816833925456789505,b'816833925456789505'
b'RepLizCheney',b'Rep. Liz Cheney',"b'Official Page of Congressman Liz Cheney, proudly representing the people of Wyoming. Chair of the House Republican Conference'",33624,77,2017-01-04 18:55:49,"b'Wyoming, USA'",816719802328715264,b'816719802328715264'
b'RepTomSuozzi',b'Tom Suozzi',"b""Representing New York's 3rd Congressional District including parts of Queens, Nassau and Suffolk counties. https://t.co/aWr41ZGlpq""",10365,111,2017-01-04 17:58:38,"b'Glen Cove, NY'",816705409486618624,b'816705409486618624'
b'SenJohnKennedy',b'John Kennedy',b'The official Twitter page for U.S. Senator John N. Kennedy (R-La.) https://t.co/4ceoNzx1Ck',76342,1333,2017-01-04 16:30:40,b'Louisiana',816683274076614656,b'816683274076614656'
b'RepAndyBiggsAZ',b'Rep Andy Biggs',"b""Representing Arizona's Fighting Fifth.""",60519,1526,2017-01-04 14:28:51,"b'Arizona, USA'",816652616625168388,b'816652616625168388'
b'RepBrianFitz',b'Brian Fitzpatrick',"b'An independent voice for the people of #PA01. Former FBI Special Agent & Federal Prosecutor. EMT, CPA & Philly sports fan. #GoBirds'",12898,193,2017-01-03 15:20:39,"b'Levittown, PA'",816303263586914304,b'816303263586914304'
b'RepRoKhanna',b'Rep. Ro Khanna',"b""Rep. Silicon Valley's #CA17. Working to create proposals for jobs in areas left behind & tax credits for working class. Restraint in foreign policy. No PAC $.""",57079,1216,2017-01-03 15:03:23,"b'Silicon Valley, CA'",816298918468259841,b'816298918468259841'
b'RepArrington',b'Rep. Arrington',b'Proudly representing the good people of West Texas in Congress.',8395,1279,2017-01-03 14:06:44,b'West Texas',816284664658874368,b'816284664658874368'
b'RepMcEachin',b'Rep. Donald McEachin',"b'Father, husband & Progressive Democrat. Proudly representing VA\xe2\x80\x99s Fighting 4th Congressional District #VA04. Member @EnergyCommerce  @climatecrisis & @NRDems.'",8872,1306,2017-01-03 07:15:10,b'',816181091673448448,b'816181091673448448'
b'RepCarbajal',b'Rep. Salud Carbajal',"b'Father, husband, & veteran proudly representing California\xe2\x80\x99s 24th District. Working to protect the environment, improve our economy, and support our veterans.'",10523,864,2017-01-03 05:42:06,b'',816157667882373120,b'816157667882373120'
b'RepRooney',b'Francis Rooney',"b""Honored to serve the citizens of Florida's 19th Congressional District. Official Government account.""",8753,460,2017-01-03 02:39:21,b'SWFL',816111677917851649,b'816111677917851649'
b'RepCharlieCrist',b'Rep. Charlie Crist',"b""Representing Florida's 13th Congressional District in the U.S. House of Representatives.""",11228,334,2017-01-02 21:16:29,"b'St Petersburg, FL'",816030424778543104,b'816030424778543104'
b'RepDavidKustoff',b'Rep. David Kustoff',"b'Official news and updates from Congressman David Kustoff, Proudly serving the 8th District of Tennessee'",8784,725,2017-01-02 20:03:46,"b'TN-08/Washington, DC'",816012124505931780,b'816012124505931780'
b'RepLouCorrea',b'Rep. Lou Correa',b'Father. Public servant. Member of Congress. @HouseJudiciary @HomelandDemsHouse',8743,8,2017-01-02 18:16:08,"b'Santa Ana, CA'",815985039485837312,b'815985039485837312'
b'RepGallagher',b'Rep. Mike Gallagher',"b'Green Bay Native, Marine Veteran, and Eisenhower Nerd proudly representing #WI08 in Congress. #GoPackGo. https://t.co/D2ANAop3fA'",17438,413,2017-01-02 17:02:57,"b'Green Bay, WI'",815966620300480514,b'815966620300480514'
b'DrNealDunnFL2',b'Dr. Neal Dunn',b'Official government Twitter account for Congressman Neal Dunn (FL-02).',7059,239,2017-01-02 16:06:07,b'',815952318487298048,b'815952318487298048'
b'RepJayapal',b'Rep. Pramila Jayapal',"b'Congresswoman & lifelong organizer. Proudly serving WA-07. Co-Chair of @USProgressives, Member of @HouseJudiciary, @EdLaborCmte and @HouseBudgetDems. She/her.'",206376,2681,2017-01-02 01:35:46,"b'Seattle, WA'",815733290955112448,b'815733290955112448'
b'RepJoshG',b'Rep Josh Gottheimer',"b""Honored to serve the people of New Jersey's 5th District. Working across the aisle to solve problems, lower taxes, and fight for Jersey values.""",10442,82,2016-12-31 21:35:47,b'',815310506596691968,b'815310506596691968'
b'CongressmanRaja',b'Raja Krishnamoorthi',"b""Official Twitter account of Congressman Raja Krishnamoorthi, representing Illinois' 8th Congressional District.""",19913,2533,2016-12-28 18:39:42,"b'Schaumburg, IL'",814179031956488192,b'814179031956488192'
b'RepBrianMast',b'Rep. Brian Mast',"b'Proud husband, father of 4 & Army veteran.  Humbly serving the 18th Congressional District of Florida. Please contact me if you need assistance.'",17734,465,2016-12-28 13:41:21,b'',814103950404239360,b'814103950404239360'
b'RepTrey',b'Trey Hollingsworth',"b""Proudly serving my fellow Hoosiers of Indiana's 9th District. Member of the House Financial Services Committee.""",9018,624,2016-12-22 17:26:30,"b""Indiana's 9th District""",811986281177772032,b'811986281177772032'
